TABLE_NAME,COLUMN_NAME,DATA_TYPE,DATA_PRECISION,DATA_SCALE,HCAT_TYPE
ADDRINDX,ADRNO,NUMBER,10,0,bigint
ADDRINDX,ADRGRID,VARCHAR2,NA,NA,string
ADDRINDX,ADRADD,VARCHAR2,NA,NA,string
ADDRINDX,ADRDIR,VARCHAR2,NA,NA,string
ADDRINDX,ADRSTR,VARCHAR2,NA,NA,string
ADDRINDX,ADRSUF,VARCHAR2,NA,NA,string
ADDRINDX,ADRSUF2,VARCHAR2,NA,NA,string
ADDRINDX,CITYNAME,VARCHAR2,NA,NA,string
ADDRINDX,STATECODE,VARCHAR2,NA,NA,string
ADDRINDX,UNITDESC,VARCHAR2,NA,NA,string
ADDRINDX,UNITNO,VARCHAR2,NA,NA,string
ADDRINDX,ZIP1,VARCHAR2,NA,NA,string
ADDRINDX,ZIP2,VARCHAR2,NA,NA,string
ADDRINDX,LOC2,VARCHAR2,NA,NA,string
ADDRINDX,DEFADDR,VARCHAR2,NA,NA,string
ADDRINDX,DEACTIVAT,DATE,NA,NA,string
ADDRINDX,IASW_ID,NUMBER,NA,NA,bigint
ADDRINDX,TRANS_ID,NUMBER,10,0,bigint
ADDRINDX,UPD_STATUS,VARCHAR2,NA,NA,string
